GENE NAME,PARAGRAPH 1 (Gene Association),PARAGRAPH 2 (Gene Condition),PARAGRAPH 3 (Gene Condition Overflow),A2M CURVE,A2M REQUESTS,HideA2MCharts,SQL,Concatenated
MITF,"The MITF gene is associated with autosomal dominant Waardenburg syndrome, type 2a (MedGen UID: 349786) and autosomal recessive COMMAD syndrome (coloboma, osteopetrosis, microphthalmia, macrocephaly, albinism, and deafness) (MedGen UID: 934592). The c.952G>A (p.Glu318Lys) variant in MITF is associated with autosomal dominant predisposition to cutaneous malignant melanoma (MedGen UID: 463554).","Waardenburg syndrome, type 2a (WS2a) is characterized by congenital deafness and abnormal pigmentation of the iris, hair and skin. Additional neurologic manifestations including intellectual disability and myelination abnormalities have been described. WS2a is distinguished from Waardenburg type 1 by the absence of dystopia canthorum (PMID: 20127975).

COMMAD syndrome is a rare condition characterized by iris coloboma, osteopetrosis, microphthalmia, macrocephaly, albinism and deafness. Due to the limited cases described in the literature, the clinical features and natural history of COMMAD are still unclear and will likely evolve over time. Clinical correlation is advised.",,NO,,,"('MITF', 'The MITF gene is associated with autosomal dominant Waardenburg syndrome, type 2a (MedGen UID: 349786) and autosomal recessive COMMAD syndrome (coloboma, osteopetrosis, microphthalmia, macrocephaly, albinism, and deafness) (MedGen UID: 934592). The c.952G>A (p.Glu318Lys) variant in MITF is associated with autosomal dominant predisposition to cutaneous malignant melanoma (MedGen UID: 463554).', 'Waardenburg syndrome, type 2a (WS2a) is characterized by congenital deafness and abnormal pigmentation of the iris, hair and skin. Additional neurologic manifestations including intellectual disability and myelination abnormalities have been described. WS2a is distinguished from Waardenburg type 1 by the absence of dystopia canthorum (PMID: 20127975).

COMMAD syndrome is a rare condition characterized by iris coloboma, osteopetrosis, microphthalmia, macrocephaly, albinism and deafness. Due to the limited cases described in the literature, the clinical features and natural history of COMMAD are still unclear and will likely evolve over time. Clinical correlation is advised.', '', '0', NULL),","The MITF gene is associated with autosomal dominant Waardenburg syndrome, type 2a (MedGen UID: 349786) and autosomal recessive COMMAD syndrome (coloboma, osteopetrosis, microphthalmia, macrocephaly, albinism, and deafness) (MedGen UID: 934592). The c.952G>A (p.Glu318Lys) variant in MITF is associated with autosomal dominant predisposition to cutaneous malignant melanoma (MedGen UID: 463554).  Waardenburg syndrome, type 2a (WS2a) is characterized by congenital deafness and abnormal pigmentation of the iris, hair and skin. Additional neurologic manifestations including intellectual disability and myelination abnormalities have been described. WS2a is distinguished from Waardenburg type 1 by the absence of dystopia canthorum (PMID: 20127975).

COMMAD syndrome is a rare condition characterized by iris coloboma, osteopetrosis, microphthalmia, macrocephaly, albinism and deafness. Due to the limited cases described in the literature, the clinical features and natural history of COMMAD are still unclear and will likely evolve over time. Clinical correlation is advised."
MLH1,"The MLH1 gene is associated with autosomal dominant Lynch syndrome (also called hereditary nonpolyposis colorectal cancer syndrome, or HNPCC) (MedGen UID: 232603) and autosomal recessive constitutional mismatch repair deficiency syndrome (CMMR-D) (MedGen UID: 78553).","MLH1-related Lynch syndrome is characterized by increased risk of various cancers including colorectal, endometrial, ovarian, urinary tract, gastrointestinal, brain and possibly prostate. Lifetime cancer risks include a 46–61% risk for colorectal cancer, a 5–7% risk for gastric cancer, a 6% risk for pancreatic cancer, up to an 11% risk for cancer of the small intestines, up to a 5% risk for urinary tract cancer, a 2–7% risk for bladder cancer, a 2–4% risk for cancer of the biliary tract and up to a 1.7% risk for brain/nervous system cancer. Affected females also have an increased risk of uterine/endometrial cancer (34-54%) and ovarian cancer (4–20%) (PMID: 21642682, 28754778, 28772289, 19900449, 26385421, 27013479, 18398828, 26657901,19900449, 31337882).","CMMR-D is a cancer syndrome characterized by childhood malignancies, most commonly hematological malignancies and/or brain tumors, as well as very early-onset colorectal cancer. Nearly all affected individuals have clinical findings reminiscent of neurofibromatosis type 1 (NF1) such as cafe-au-lait spots (PMID: 18709565, 20442441, 17539897).",YES,"Hide Endometrial
Hide gastric for males only","[""Endometrial"", ""Gastric:Male""]","('MLH1', 'The MLH1 gene is associated with autosomal dominant Lynch syndrome (also called hereditary nonpolyposis colorectal cancer syndrome, or HNPCC) (MedGen UID: 232603) and autosomal recessive constitutional mismatch repair deficiency syndrome (CMMR-D) (MedGen UID: 78553).', 'MLH1-related Lynch syndrome is characterized by increased risk of various cancers including colorectal, endometrial, ovarian, urinary tract, gastrointestinal, brain and possibly prostate. Lifetime cancer risks include a 46–61% risk for colorectal cancer, a 5–7% risk for gastric cancer, a 6% risk for pancreatic cancer, up to an 11% risk for cancer of the small intestines, up to a 5% risk for urinary tract cancer, a 2–7% risk for bladder cancer, a 2–4% risk for cancer of the biliary tract and up to a 1.7% risk for brain/nervous system cancer. Affected females also have an increased risk of uterine/endometrial cancer (34-54%) and ovarian cancer (4–20%) (PMID: 21642682, 28754778, 28772289, 19900449, 26385421, 27013479, 18398828, 26657901,19900449, 31337882).', 'CMMR-D is a cancer syndrome characterized by childhood malignancies, most commonly hematological malignancies and/or brain tumors, as well as very early-onset colorectal cancer. Nearly all affected individuals have clinical findings reminiscent of neurofibromatosis type 1 (NF1) such as cafe-au-lait spots (PMID: 18709565, 20442441, 17539897).', '0', '[""Endometrial"", ""Gastric:Male""]'),","The MLH1 gene is associated with autosomal dominant Lynch syndrome (also called hereditary nonpolyposis colorectal cancer syndrome, or HNPCC) (MedGen UID: 232603) and autosomal recessive constitutional mismatch repair deficiency syndrome (CMMR-D) (MedGen UID: 78553).  MLH1-related Lynch syndrome is characterized by increased risk of various cancers including colorectal, endometrial, ovarian, urinary tract, gastrointestinal, brain and possibly prostate. Lifetime cancer risks include a 46–61% risk for colorectal cancer, a 5–7% risk for gastric cancer, a 6% risk for pancreatic cancer, up to an 11% risk for cancer of the small intestines, up to a 5% risk for urinary tract cancer, a 2–7% risk for bladder cancer, a 2–4% risk for cancer of the biliary tract and up to a 1.7% risk for brain/nervous system cancer. Affected females also have an increased risk of uterine/endometrial cancer (34-54%) and ovarian cancer (4–20%) (PMID: 21642682, 28754778, 28772289, 19900449, 26385421, 27013479, 18398828, 26657901,19900449, 31337882).  CMMR-D is a cancer syndrome characterized by childhood malignancies, most commonly hematological malignancies and/or brain tumors, as well as very early-onset colorectal cancer. Nearly all affected individuals have clinical findings reminiscent of neurofibromatosis type 1 (NF1) such as cafe-au-lait spots (PMID: 18709565, 20442441, 17539897)."
MRE11,"The MRE11 gene, formerly known as MRE11A, is associated with autosomal recessive ataxia-telangiectasia-like disorder (ATLD) (MedGen UID: 861227). There appears to be phenotypic overlap between ATLD and autosomal recessive Joubert syndrome (PMID: 22863007). Additionally, there are data supporting an association between MRE11 and autosomal dominant predisposition to breast and gynecologic cancer (PMID: 14684699, 24894818, 24549055, 25452441). The evidence, however, is preliminary and insufficient to make a determination regarding these relationships.","ATLD is characterized by progressive cerebellar degeneration resulting in ataxia and oculomotor apraxia (PMID: 15279810). Studies have demonstrated an increased susceptibility to radiation, consistent with a defect in the DNA repair pathway. While this disorder shares some phenotypic features with ataxia-telangiectasia, telangiectasias and immunodeficiency are not present in ATLD (PMID: 15279810, 10612394, 18652530).",,NO,,,"('MRE11', 'The MRE11 gene, formerly known as MRE11A, is associated with autosomal recessive ataxia-telangiectasia-like disorder (ATLD) (MedGen UID: 861227). There appears to be phenotypic overlap between ATLD and autosomal recessive Joubert syndrome (PMID: 22863007). Additionally, there are data supporting an association between MRE11 and autosomal dominant predisposition to breast and gynecologic cancer (PMID: 14684699, 24894818, 24549055, 25452441). The evidence, however, is preliminary and insufficient to make a determination regarding these relationships.                                                ', 'ATLD is characterized by progressive cerebellar degeneration resulting in ataxia and oculomotor apraxia (PMID: 15279810). Studies have demonstrated an increased susceptibility to radiation, consistent with a defect in the DNA repair pathway. While this disorder shares some phenotypic features with ataxia-telangiectasia, telangiectasias and immunodeficiency are not present in ATLD (PMID: 15279810, 10612394, 18652530).', '', '1', NULL),","The MRE11 gene, formerly known as MRE11A, is associated with autosomal recessive ataxia-telangiectasia-like disorder (ATLD) (MedGen UID: 861227). There appears to be phenotypic overlap between ATLD and autosomal recessive Joubert syndrome (PMID: 22863007). Additionally, there are data supporting an association between MRE11 and autosomal dominant predisposition to breast and gynecologic cancer (PMID: 14684699, 24894818, 24549055, 25452441). The evidence, however, is preliminary and insufficient to make a determination regarding these relationships.                                                  ATLD is characterized by progressive cerebellar degeneration resulting in ataxia and oculomotor apraxia (PMID: 15279810). Studies have demonstrated an increased susceptibility to radiation, consistent with a defect in the DNA repair pathway. While this disorder shares some phenotypic features with ataxia-telangiectasia, telangiectasias and immunodeficiency are not present in ATLD (PMID: 15279810, 10612394, 18652530)."
MSH2,"The MSH2 gene is associated with autosomal dominant Lynch syndrome (also called hereditary nonpolyposis colorectal cancer syndrome, or HNPCC) (MedGen UID: 423615) and autosomal recessive constitutional mismatch repair deficiency syndrome (CMMR-D) (MedGen UID: 78553).","MSH2-related Lynch syndrome is characterized by an increased risk of colorectal cancer as well as cancers of the endometrium, ovary, stomach, biliary tract, bladder, urinary tract, prostate, brain and possibly small intestines. Estimated lifetime risks include a 33–52% risk for colorectal cancer, up to a 9% risk for gastric cancer, up to a 1.7% risk for cancer of the biliary tract, a 2-28% risk for urinary tract cancer, a 4-13% risk for bladder cancer and a 3-8% risk for brain cancer. Affected females also have an increased risk of uterine cancer (21-57%) and ovarian cancer (8-38%) while affected males have an elevated risk for prostate cancer (up to 24%) (PMID: 21642682, 28754778, 19900449, 26657901, 31337882, 23091106, 18398828, 27013479).","CMMR-D is a cancer syndrome characterized by childhood malignancies, most commonly hematological malignancies and/or brain tumors, as well as very early-onset colorectal cancer. Nearly all affected individuals have clinical signs reminiscent of neurofibromatosis type 1 (NF1) such as cafe-au-lait spots (PMID: 18709565, 20442441, 17539897).",YES,,,"('MSH2', 'The MSH2 gene is associated with autosomal dominant Lynch syndrome (also called hereditary nonpolyposis colorectal cancer syndrome, or HNPCC) (MedGen UID: 423615) and autosomal recessive constitutional mismatch repair deficiency syndrome (CMMR-D) (MedGen UID: 78553).', 'MSH2-related Lynch syndrome is characterized by an increased risk of colorectal cancer as well as cancers of the endometrium, ovary, stomach, biliary tract, bladder, urinary tract, prostate, brain and possibly small intestines. Estimated lifetime risks include a 33–52% risk for colorectal cancer, up to a 9% risk for gastric cancer, up to a 1.7% risk for cancer of the biliary tract, a 2-28% risk for urinary tract cancer, a 4-13% risk for bladder cancer and a 3-8% risk for brain cancer. Affected females also have an increased risk of uterine cancer (21-57%) and ovarian cancer (8-38%) while affected males have an elevated risk for prostate cancer (up to 24%) (PMID: 21642682, 28754778, 19900449, 26657901, 31337882, 23091106, 18398828, 27013479).', 'CMMR-D is a cancer syndrome characterized by childhood malignancies, most commonly hematological malignancies and/or brain tumors, as well as very early-onset colorectal cancer. Nearly all affected individuals have clinical signs reminiscent of neurofibromatosis type 1 (NF1) such as cafe-au-lait spots (PMID: 18709565, 20442441, 17539897).', '0', NULL),","The MSH2 gene is associated with autosomal dominant Lynch syndrome (also called hereditary nonpolyposis colorectal cancer syndrome, or HNPCC) (MedGen UID: 423615) and autosomal recessive constitutional mismatch repair deficiency syndrome (CMMR-D) (MedGen UID: 78553).  MSH2-related Lynch syndrome is characterized by an increased risk of colorectal cancer as well as cancers of the endometrium, ovary, stomach, biliary tract, bladder, urinary tract, prostate, brain and possibly small intestines. Estimated lifetime risks include a 33–52% risk for colorectal cancer, up to a 9% risk for gastric cancer, up to a 1.7% risk for cancer of the biliary tract, a 2-28% risk for urinary tract cancer, a 4-13% risk for bladder cancer and a 3-8% risk for brain cancer. Affected females also have an increased risk of uterine cancer (21-57%) and ovarian cancer (8-38%) while affected males have an elevated risk for prostate cancer (up to 24%) (PMID: 21642682, 28754778, 19900449, 26657901, 31337882, 23091106, 18398828, 27013479).  CMMR-D is a cancer syndrome characterized by childhood malignancies, most commonly hematological malignancies and/or brain tumors, as well as very early-onset colorectal cancer. Nearly all affected individuals have clinical signs reminiscent of neurofibromatosis type 1 (NF1) such as cafe-au-lait spots (PMID: 18709565, 20442441, 17539897)."
MSH3 - Monoallelic,"The MSH3 gene is associated with autosomal recessive MSH3-associated polyposis (MedGen UID: 934686). This condition may also be associated with increased risks for other cancers (PMID: 27476653). The data, however, are preliminary and insufficient to make a determination regarding these relationships.","MSH3-associated polyposis is an adult-onset hereditary cancer predisposition syndrome characterized by the development of multiple colonic adenomas, often with progression to colorectal cancer; lifetime cancer risks are not established (PMID: 27476653).",,NO,,,"('MSH3 - Monoallelic', 'The MSH3 gene is associated with autosomal recessive MSH3-associated polyposis (MedGen UID: 934686). This condition may also be associated with increased risks for other cancers (PMID: 27476653). The data, however, are preliminary and insufficient to make a determination regarding these relationships.', 'MSH3-associated polyposis is an adult-onset hereditary cancer predisposition syndrome characterized by the development of multiple colonic adenomas, often with progression to colorectal cancer; lifetime cancer risks are not established (PMID: 27476653).', '', '1', NULL),","The MSH3 gene is associated with autosomal recessive MSH3-associated polyposis (MedGen UID: 934686). This condition may also be associated with increased risks for other cancers (PMID: 27476653). The data, however, are preliminary and insufficient to make a determination regarding these relationships.  MSH3-associated polyposis is an adult-onset hereditary cancer predisposition syndrome characterized by the development of multiple colonic adenomas, often with progression to colorectal cancer; lifetime cancer risks are not established (PMID: 27476653)."
MSH3 - Biallelic,"The MSH3 gene is associated with autosomal recessive MSH3-associated polyposis (MedGen UID: 934686). This condition may also be associated with increased risks for other cancers (PMID: 27476653). The data, however, are preliminary and insufficient to make a determination regarding these relationships.","MSH3-associated polyposis is an adult-onset hereditary cancer predisposition syndrome characterized by the development of multiple colonic adenomas, often with progression to colorectal cancer; lifetime cancer risks are not established (PMID: 27476653).",,NO,,,"('MSH3 - Biallelic', 'The MSH3 gene is associated with autosomal recessive MSH3-associated polyposis (MedGen UID: 934686). This condition may also be associated with increased risks for other cancers (PMID: 27476653). The data, however, are preliminary and insufficient to make a determination regarding these relationships.', 'MSH3-associated polyposis is an adult-onset hereditary cancer predisposition syndrome characterized by the development of multiple colonic adenomas, often with progression to colorectal cancer; lifetime cancer risks are not established (PMID: 27476653).', '', '1', NULL),","The MSH3 gene is associated with autosomal recessive MSH3-associated polyposis (MedGen UID: 934686). This condition may also be associated with increased risks for other cancers (PMID: 27476653). The data, however, are preliminary and insufficient to make a determination regarding these relationships.  MSH3-associated polyposis is an adult-onset hereditary cancer predisposition syndrome characterized by the development of multiple colonic adenomas, often with progression to colorectal cancer; lifetime cancer risks are not established (PMID: 27476653)."
MSH6,"The MSH6 gene is associated with autosomal dominant Lynch syndrome (also called hereditary nonpolyposis colorectal cancer syndrome, or HNPCC) (MedGen UID: 318886) and autosomal recessive constitutional mismatch repair deficiency syndrome (CMMR-D) (MedGen UID: 78553).","MSH6-related Lynch syndrome is characterized by an increased risk of colorectal cancer as well as cancers of the endometrium, ovaries, urinary tract, bladder, brain, and possibly prostate, stomach and small bowel. Estimated lifetime risks include a 10–44% risk of colorectal cancer, up to 5.5% risk of urinary tract cancer, up to an 8% risk of bladder cancer and up to a 2% risk of brain cancer. Affected females also have an increased risk of uterine/endometrial cancer (16-49%) and ovarian cancer (up to 13%) (PMID: 20028993, 21642682, 28754778, 20028993, 31204389, 31337882).","CMMR-D is a cancer syndrome characterized by childhood malignancies, most commonly hematological malignancies and/or brain tumors, as well as very early-onset colorectal cancer. Nearly all affected individuals have clinical signs reminiscent of neurofibromatosis type 1 (NF1) such as cafe-au-lait spots (PMID: 18709565, 20442441, 17539897).",YES,,,"('MSH6', 'The MSH6 gene is associated with autosomal dominant Lynch syndrome (also called hereditary nonpolyposis colorectal cancer syndrome, or HNPCC) (MedGen UID: 318886) and autosomal recessive constitutional mismatch repair deficiency syndrome (CMMR-D) (MedGen UID: 78553).', 'MSH6-related Lynch syndrome is characterized by an increased risk of colorectal cancer as well as cancers of the endometrium, ovaries, urinary tract, bladder, brain, and possibly prostate, stomach and small bowel. Estimated lifetime risks include a 10–44% risk of colorectal cancer, up to 5.5% risk of urinary tract cancer, up to an 8% risk of bladder cancer and up to a 2% risk of brain cancer. Affected females also have an increased risk of uterine/endometrial cancer (16-49%) and ovarian cancer (up to 13%) (PMID: 20028993, 21642682, 28754778, 20028993, 31204389, 31337882).', 'CMMR-D is a cancer syndrome characterized by childhood malignancies, most commonly hematological malignancies and/or brain tumors, as well as very early-onset colorectal cancer. Nearly all affected individuals have clinical signs reminiscent of neurofibromatosis type 1 (NF1) such as cafe-au-lait spots (PMID: 18709565, 20442441, 17539897).', '0', NULL),","The MSH6 gene is associated with autosomal dominant Lynch syndrome (also called hereditary nonpolyposis colorectal cancer syndrome, or HNPCC) (MedGen UID: 318886) and autosomal recessive constitutional mismatch repair deficiency syndrome (CMMR-D) (MedGen UID: 78553).  MSH6-related Lynch syndrome is characterized by an increased risk of colorectal cancer as well as cancers of the endometrium, ovaries, urinary tract, bladder, brain, and possibly prostate, stomach and small bowel. Estimated lifetime risks include a 10–44% risk of colorectal cancer, up to 5.5% risk of urinary tract cancer, up to an 8% risk of bladder cancer and up to a 2% risk of brain cancer. Affected females also have an increased risk of uterine/endometrial cancer (16-49%) and ovarian cancer (up to 13%) (PMID: 20028993, 21642682, 28754778, 20028993, 31204389, 31337882).  CMMR-D is a cancer syndrome characterized by childhood malignancies, most commonly hematological malignancies and/or brain tumors, as well as very early-onset colorectal cancer. Nearly all affected individuals have clinical signs reminiscent of neurofibromatosis type 1 (NF1) such as cafe-au-lait spots (PMID: 18709565, 20442441, 17539897)."
MUTYH - Monoallelic,The MUTYH gene is associated with autosomal recessive MUTYH-associated polyposis (MAP) (MedGen UID: 332993).,"MAP is characterized by adult-onset multiple colorectal adenomas and increased lifetime risk for colorectal cancer, estimated to be 80-90% in untreated cases. Colorectal cancer has been reported in some affected individuals in the absence of polyposis (PMID: 23035301, 33059073). Duodenal adenomas are found in 17-34% of MAP cases (PMID: 19732775, 26905905), with a 4% risk of malignant transformation (PMID: 23035301).","Approximately 1.5-2% of the Northern European population carries a pathogenic variant in MUTYH (PMID: 16492921, 19245865). The risk of colorectal cancer among heterozygous carriers was found to be marginally increased in large population-based studies (OR: 1.07-1.2) (PMID: 17368238, 19620482) whereas, family-based studies found a higher risk compared to the general population (OR: 2-3) (PMID: 24444654, 16492921, 19394335). Being a carrier of a pathogenic MUTYH variant impacts reproductive risks.",NO,,,"('MUTYH - Monoallelic', 'The MUTYH gene is associated with autosomal recessive MUTYH-associated polyposis (MAP) (MedGen UID: 332993).', 'MAP is characterized by adult-onset multiple colorectal adenomas and increased lifetime risk for colorectal cancer, estimated to be 80-90% in untreated cases. Colorectal cancer has been reported in some affected individuals in the absence of polyposis (PMID: 23035301, 33059073). Duodenal adenomas are found in 17-34% of MAP cases (PMID: 19732775, 26905905), with a 4% risk of malignant transformation (PMID: 23035301).', 'Approximately 1.5-2% of the Northern European population carries a pathogenic variant in MUTYH (PMID: 16492921, 19245865). The risk of colorectal cancer among heterozygous carriers was found to be marginally increased in large population-based studies (OR: 1.07-1.2) (PMID: 17368238, 19620482) whereas, family-based studies found a higher risk compared to the general population (OR: 2-3) (PMID: 24444654, 16492921, 19394335). Being a carrier of a pathogenic MUTYH variant impacts reproductive risks.', '1', NULL),","The MUTYH gene is associated with autosomal recessive MUTYH-associated polyposis (MAP) (MedGen UID: 332993).  MAP is characterized by adult-onset multiple colorectal adenomas and increased lifetime risk for colorectal cancer, estimated to be 80-90% in untreated cases. Colorectal cancer has been reported in some affected individuals in the absence of polyposis (PMID: 23035301, 33059073). Duodenal adenomas are found in 17-34% of MAP cases (PMID: 19732775, 26905905), with a 4% risk of malignant transformation (PMID: 23035301).  Approximately 1.5-2% of the Northern European population carries a pathogenic variant in MUTYH (PMID: 16492921, 19245865). The risk of colorectal cancer among heterozygous carriers was found to be marginally increased in large population-based studies (OR: 1.07-1.2) (PMID: 17368238, 19620482) whereas, family-based studies found a higher risk compared to the general population (OR: 2-3) (PMID: 24444654, 16492921, 19394335). Being a carrier of a pathogenic MUTYH variant impacts reproductive risks."
MUTYH - Biallelic,The MUTYH gene is associated with autosomal recessive MUTYH-associated polyposis (MAP) (MedGen UID: 332993).,"MAP is characterized by adult-onset multiple colorectal adenomas and increased lifetime risk for colorectal cancer, estimated to be 80-90% in untreated cases. Colorectal cancer has been reported in some affected individuals in the absence of polyposis (PMID: 23035301, 33059073). Duodenal adenomas are found in 17-34% of MAP cases (PMID: 19732775, 26905905), with a 4% risk of malignant transformation (PMID: 23035301).","Approximately 1.5-2% of the Northern European population carries a pathogenic variant in MUTYH (PMID: 16492921, 19245865). The risk of colorectal cancer among heterozygous carriers was found to be marginally increased in large population-based studies (OR: 1.07-1.2) (PMID: 17368238, 19620482) whereas, family-based studies found a higher risk compared to the general population (OR: 2-3) (PMID: 24444654, 16492921, 19394335). Being a carrier of a pathogenic MUTYH variant impacts reproductive risks.",NO,,,"('MUTYH - Biallelic', 'The MUTYH gene is associated with autosomal recessive MUTYH-associated polyposis (MAP) (MedGen UID: 332993).', 'MAP is characterized by adult-onset multiple colorectal adenomas and increased lifetime risk for colorectal cancer, estimated to be 80-90% in untreated cases. Colorectal cancer has been reported in some affected individuals in the absence of polyposis (PMID: 23035301, 33059073). Duodenal adenomas are found in 17-34% of MAP cases (PMID: 19732775, 26905905), with a 4% risk of malignant transformation (PMID: 23035301).', 'Approximately 1.5-2% of the Northern European population carries a pathogenic variant in MUTYH (PMID: 16492921, 19245865). The risk of colorectal cancer among heterozygous carriers was found to be marginally increased in large population-based studies (OR: 1.07-1.2) (PMID: 17368238, 19620482) whereas, family-based studies found a higher risk compared to the general population (OR: 2-3) (PMID: 24444654, 16492921, 19394335). Being a carrier of a pathogenic MUTYH variant impacts reproductive risks.', '0', NULL),","The MUTYH gene is associated with autosomal recessive MUTYH-associated polyposis (MAP) (MedGen UID: 332993).  MAP is characterized by adult-onset multiple colorectal adenomas and increased lifetime risk for colorectal cancer, estimated to be 80-90% in untreated cases. Colorectal cancer has been reported in some affected individuals in the absence of polyposis (PMID: 23035301, 33059073). Duodenal adenomas are found in 17-34% of MAP cases (PMID: 19732775, 26905905), with a 4% risk of malignant transformation (PMID: 23035301).  Approximately 1.5-2% of the Northern European population carries a pathogenic variant in MUTYH (PMID: 16492921, 19245865). The risk of colorectal cancer among heterozygous carriers was found to be marginally increased in large population-based studies (OR: 1.07-1.2) (PMID: 17368238, 19620482) whereas, family-based studies found a higher risk compared to the general population (OR: 2-3) (PMID: 24444654, 16492921, 19394335). Being a carrier of a pathogenic MUTYH variant impacts reproductive risks."
NBN,"The NBN gene is associated with autosomal recessive Nijmegen breakage syndrome (NBS) (MedGen UID: 140771). There is also evidence suggesting NBN may be associated with autosomal dominant predisposition to ovarian, endometrial and prostate cancer (PMID: 26720728, 29988077, 30733081, 31406321). The data, however, are preliminary and insufficient to make a determination regarding these relationships.","NBS is a progressive multisystemic disorder characterized by physical abnormalities, immunodeficiency, increased cancer risk and cognitive impairment. Physical abnormalities may include progressive microcephaly, early growth restriction leading to short stature and distinctive facial features. Immunodeficiency often results in recurrent pulmonary infections. B-cell lymphomas are the most common malignancy, although T-cell lymphomas, medulloblastomas, gliomas and rhabdomyosarcomas may also occur (PMID: 22373003, 26271390).","Studies have previously suggested that females with a pathogenic variant in NBN may have autosomal dominant predisposition to breast cancer (PMID: 17957789, 21514219, 16770759, 23765759); however, more recent data have not supported this assertion (PMID: 33471974, 33471991).",NO,,,"('NBN', 'The NBN gene is associated with autosomal recessive Nijmegen breakage syndrome (NBS) (MedGen UID: 140771). There is also evidence suggesting NBN may be associated with autosomal dominant predisposition to ovarian, endometrial and prostate cancer (PMID: 26720728, 29988077, 30733081, 31406321). The data, however, are preliminary and insufficient to make a determination regarding these relationships.', 'NBS is a progressive multisystemic disorder characterized by physical abnormalities, immunodeficiency, increased cancer risk and cognitive impairment. Physical abnormalities may include progressive microcephaly, early growth restriction leading to short stature and distinctive facial features. Immunodeficiency often results in recurrent pulmonary infections. B-cell lymphomas are the most common malignancy, although T-cell lymphomas, medulloblastomas, gliomas and rhabdomyosarcomas may also occur (PMID: 22373003, 26271390). ', 'Studies have previously suggested that females with a pathogenic variant in NBN may have autosomal dominant predisposition to breast cancer (PMID: 17957789, 21514219, 16770759, 23765759); however, more recent data have not supported this assertion (PMID: 33471974, 33471991).', '0', NULL),","The NBN gene is associated with autosomal recessive Nijmegen breakage syndrome (NBS) (MedGen UID: 140771). There is also evidence suggesting NBN may be associated with autosomal dominant predisposition to ovarian, endometrial and prostate cancer (PMID: 26720728, 29988077, 30733081, 31406321). The data, however, are preliminary and insufficient to make a determination regarding these relationships.  NBS is a progressive multisystemic disorder characterized by physical abnormalities, immunodeficiency, increased cancer risk and cognitive impairment. Physical abnormalities may include progressive microcephaly, early growth restriction leading to short stature and distinctive facial features. Immunodeficiency often results in recurrent pulmonary infections. B-cell lymphomas are the most common malignancy, although T-cell lymphomas, medulloblastomas, gliomas and rhabdomyosarcomas may also occur (PMID: 22373003, 26271390).   Studies have previously suggested that females with a pathogenic variant in NBN may have autosomal dominant predisposition to breast cancer (PMID: 17957789, 21514219, 16770759, 23765759); however, more recent data have not supported this assertion (PMID: 33471974, 33471991)."
