Test,ID,GeneMasterName,Variant,Gender,DiseaseName,PredominantCancerSubtype,SyndromeMasterName,DiseaseType,Organ,FinalVerdict,NotesReAssn,EvidenceofAssociation,PredominantCancerSubtypeSource,ClinGenValidility,ClinGen Numeric,NCCN combined,NCCNRecommend,NCCNidentifier,GeneticHomeReference,OMIM,GeneCard,GeneReview,Completed,GraphInAsk2Me,HomuncCaNeo,HomuncBenign,ASk2me Asssociation,NEJM MHL and DICER1 paper,MedNeon_Extended,Akras_paper,Akras_paper_penetrance,Yadav_paper,AmbryGenetics,SPANISH_DiseaseName,CHINESE_DiseaseName,SPANISH_Gender,CHINESE_Gender,IfMetaanalysisInMasterTable,IfASK2MEBasedOnMetaanalysis,SourceRisk,Order,Concatenated,OldDiseaseName,OldPredominantCancerSubtype,OldDiseaseType,BreastGene,ColonGene,Z_Old_DiseaseName,Z_Inheritance,Z_AllellicInheritance
At least 1 finalverdict,661,PTCH1,,Either,CNS (Benign),Holoprosencephaly,,Benign,Brain,1,,,,,,,,,1,1,1,1,1,,,,,,1,,,,1,,,Masculino,男性,0,0,,,,Holoprosencephaly,,Benign Disease,,,Holoprosencephaly,,Mono
At least 1 finalverdict,677,PTCH1,,Either,Bone Neoplasm,Keratocystic Odontogenic Tumor,,Neoplasm,Bone,9,,,,,,,,,2,1,,,1,,,,,,,,,,1,,,Masculino,男性,0,0,,,,Keratocystic odontogenic tumor,,Benign Disease,,,Jaw Keratocyst,,Mono
At least 1 finalverdict,1635,PTCH1,,Either,Lymphomesentric Cyst,,,Benign,,1,Jones et al major and minor criteria,,,,,,,,,1,,,1,,,,,,,,,,,,,Masculino,男性,0,0,,,,Keratocystic odontogenic tumor,,Benign Disease,,,Lymphomesentric Cyst,,Mono
At least 1 finalverdict,1639,PTCH1,,Either,Eye (Benign),Cataract,,Benign,Eye,1,Jones et al major and minor criteria,,,,,,,,,1,,,1,,,,,,,,,,,,,Masculino,男性,0,0,,,,Keratocystic odontogenic tumor,,Benign Disease,,,Ocular Anomalys,,Mono
At least 1 finalverdict,1646,PTCH1,,Female,Ovarian (Benign),,,Benign,Ovary,1,Jones et al major and minor criteria,,,,,,,,,1,,,1,,,,,,,,,,,,,Masculino,男性,0,0,,,,Keratocystic odontogenic tumor,,Benign Disease,,,Ovarian Neoplasm,,Mono
At least 1 finalverdict,1637,PTCH1,,Either,Skin (Benign),Palmoplantar Pits,,Benign,Skin,1,Jones et al major and minor criteria,,,,,,,,,1,,,1,,,,,,,,,,,,,Masculino,男性,0,0,,,,Keratocystic odontogenic tumor,,Benign Disease,,,Palmar/Plantar pits,,Mono
At least 1 finalverdict,1636,PTCH1,,Either,Lung (Benign),Pleural Cyst,,Benign,Lung,1,Jones et al major and minor criteria,,,,,,,,,1,,,1,,,,,,,,,,,,,Masculino,男性,0,0,,,,Keratocystic odontogenic tumor,,Benign Disease,,,Plural Cyst,,Mono
At least 1 finalverdict,1638,PTCH1,,Either,Bone (Benign),Vertebral Defects,,Benign,Bone,1,Jones et al major and minor criteria,,,,,,,,,1,,,1,,,,,,,,,,,,,Masculino,男性,0,0,,,,Keratocystic odontogenic tumor,,Benign Disease,,,Skeletal Anomalys,,Mono
At least 1 finalverdict,681,PTCH1,,Either,Skin (Benign),Nevi,,Benign,Skin,1,ClinGenis definitive or moderate while NCCN is mute.,,,Definitive,1,,,,1,1,1,1,1,,,,,,,,,,,,,Masculino,男性,0,0,,,,Skin (Benign),Nevus,Benign Disease,,,Skin (Benign),,Mono
At least 1 finalverdict,335,PTCH1,,Either,Skin Cancer (Non-Melanoma),Basal Cell Carcinoma,,Cancer,Skin,1,ClinGenis definitive or moderate while NCCN is mute.,,,Definitive,1,,,,1,1,1,1,1,,,,,,1,1,High,,1,hepatobiliar,肝,Masculino,男性,0,0,,,,Skin Cancer,basal cell carcinoma,Cancer,,,Skin Cancer (Non-Melanoma),,Mono
At least 1 finalverdict,440,MSH2,,Either,Sebaceous Cancer,,,Cancer,Skin,1,,,,,,1,,1,1,1,,,1,,,,,,,1,Low,,,carcinoma sebáceo,皮脂腺癌,Masculino,男性,0,0,,231,,Sebaceous carcinoma,,Cancer,,1,Sebaceous Cancer,,Mono
At least 1 finalverdict,67,MSH2,,Either,Skin (Benign),Keratoacanthoma,,Benign,Skin,1,,,,,,1,,1,1,1,,,1,,,,,,,,,,,queratoacantoma,角化棘皮瘤,Masculino,男性,0,0,,34,,Keratoacanthoma,,Benign Disease,,1,Skin (Benign),,Mono
At least 1 finalverdict,71,MSH2,,Either,Duodenum Cancer,,,Cancer,Duodenum,1,NCCN management or identification is present.  ClinGenSilent.,,,,,1,,1,1,1,,,1,1,,,1,,,1,Low,,1,intestino delgado,小肠,Masculino,男性,0,0,Ask2Me,36,,Small Intestine,,Cancer,,1,Duodenal Cancer,,Mono
At least 1 finalverdict,1209,MSH2,,Either,Thyroid Cancer,,,Cancer,Thyroid,0,Ambry Only- not incuded in paper,,,,,,,,,,,,1,,,,,,,,,,1,tiroides,甲状腺,Masculino,男性,0,0,,,,Thyroid cancer,,Cancer,,1,Thyroid Cancer,,Mono
At least 1 finalverdict,950,MSH2,,Either,Upper Urinary Tract Cancer,,,Cancer,Upper Urinary Tract,1,Clingen:The risk of cancer in LS by age 70: upper urinary tract=6%,,,Mentioned,1,1,1,1,1,,,,1,1,,,1,,,1,Mod,,,tracto urinario superior,上尿路,Masculino,男性,0,0,Ask2Me,,,Upper Urinary Tract,,Cancer,,1,Upper Urinary Tract Cancer,,Mono
At least 1 finalverdict,237,MSH2,,Either,Ureter Cancer,,,Cancer,Ureter,1,NCCN management or identification is present.  ClinGenSilent.,,,,,1,1,1,,,,,1,,,,,,,1,Mod,,1,uréter,输尿管,Masculino,男性,0,0,,120,,Ureter,,Cancer,,1,Ureter Cancer,,Mono
0,1598,MSH2-Biallelic,,Either,Brain Tumor,Glioblastoma Multiforme,Constitutional Mismatch Repair Deficiency Syndrome,Cancer,Brain,,,,,,,,,,,1,1,1,,,,,,,,1,Low,,,cerebro,脑,Masculino,男性,0,0,,41,,Brain Tumor,glioblastoma multiforme,Cancer,,,Brain Tumor,,Mono
0,1602,MSH2-Biallelic,,Either,Colorectal Neoplasia,,Constitutional Mismatch Repair Deficiency Syndrome,Neoplasm,Colorectal,,,,OMIM and Gene Card,Definitive,1,,,,,1,1,1,,,,,,,,,,,,,,Masculino,男性,0,0,,,,Upper Urinary Tract,,Cancer,,,Colorectal Polyps,,Mono
0,1590,MSH2-Biallelic,,Either,Small Intestine Cancer,,Constitutional Mismatch Repair Deficiency Syndrome,Cancer,Small Bowel,1,clingen is not specific,,OMIM and Gene Card,Definitive,1,,,,,,1,1,,,,,,,,,,,,,,Masculino,男性,0,0,,,,Upper Urinary Tract,,Cancer,,,Gastrointestinal Carcinoma,,Mono
0,1205,MSH2-Biallelic,,Either,Leukemia,ALL,,Cancer,Blood,,,,,,,,,,,1,,,,,,,,,,1,,,1,leucemia,白血病,Masculino,男性,0,0,,,,Leukemia,ALL/AML,Cancer,,,Leukemia,,Mono
0,1585,MSH2-Biallelic,,Either,Lymphoma,,Constitutional Mismatch Repair Deficiency Syndrome,Cancer,Nodes,1,Clingen is definitive or moderate,,,Definitive,1,,,,,1,,,,,,,,,,1,Mod,,,linfoma,淋巴瘤,Masculino,男性,0,0,,,,Lymphoma,,Cancer,,,Lymphoma,,Mono
0,1582,MSH2-Biallelic,,Either,Neurofibroma,,Constitutional Mismatch Repair Deficiency Syndrome,Neoplasm,Nerve,1,Clingen is definitive or moderate,,,Definitive,1,,,,,,,,,,,,,,,,,,,,,Masculino,男性,0,0,,,,Upper Urinary Tract,,Cancer,,,Neurofibromas,,Mono
0,1606,MSH2-Biallelic,,Either,Sarcoma,Rhabdomyosarcoma,Constitutional Mismatch Repair Deficiency Syndrome,Cancer,Soft Tissue,,,,,,,,,,,1,,,,,,,,,,,,,,,,Masculino,男性,0,0,,,,Upper Urinary Tract,,Cancer,,,Rhabdomyosarcoma,,Mono
0,1594,MSH2-Biallelic,,Either,Skin Cancer (Non-Melanoma),,Constitutional Mismatch Repair Deficiency Syndrome,Cancer,Skin,1,Subtype not specified,,,Definitive,1,,,,,,,,,,,,,,,,,,,,,Masculino,男性,0,0,,,,Upper Urinary Tract,,Cancer,,,Skin Tumor,,Mono
At least 1 finalverdict,787,MSH3,,Female,Endometrial Cancer,,,Cancer,Uterus,9,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,Femenino,女性,0,0,,,,Endometrial Cancer,,Cancer,,,Endometrial Cancer,,Mono
At least 1 finalverdict,791,MSH3,,Either,Gastric Neoplasm,Gastric Leiomyoma,,Neoplasm,Gastric,0,,,,,,,,,,,1,,1,,,,,,,,,,,gástrico,胃,Masculino,男性,0,0,,165,,Gastric leiomyoma,,Cancer,,,Gastric Neoplasm,,Mono
At least 1 finalverdict,1000,MSH6,,Either,Adrenal Cortical Carcinoma,,,Cancer,Adrenal,1,"PMID: 30963136, PMID: 23752102,PMID: 27144940",,,,,,,,,,,,1,,,,,,,1,Low,,,suprarrenal,肾上腺,Masculino,男性,0,0,,,,Adrenocortical carcinoma,,Cancer,,1,Adrenal Cortical Carcinoma,,Mono
At least 1 finalverdict,942,MSH6,,Either,Bladder Cancer,,,Cancer,Urinary Bladder,1,Clingen:The risk of cancer in LS by age 70:  bladder =2-16%,,,Mentioned,1,,,,,,,,1,1,,,1,,,1,Low,,,Vejiga urinaria,膀胱,Masculino,男性,0,0,Ask2Me,,,Urinary Bladder,,Cancer,,1,Bladder Cancer,,Mono
At least 1 finalverdict,99,MSH6,,Either,Brain Tumor,Glioblastoma Multiforme,,Cancer,Brain,1,Clingen:The risk of cancer in LS by age 70: brain =3.5%,,,Mentioned,1,1,1,,1,,,1,1,1,,,1,,,1,Low,,1,cerebro,脑,Masculino,男性,0,0,Ask2Me,51,,Brain Tumor,glioblastoma multiforme,Cancer,,1,Brain Tumor,,Mono
At least 1 finalverdict,1210,MSH6,,Female,Breast Cancer,,,Cancer,Breast,0,NCCN insignificant risk (Breast paper),,,Disputed,0,9,9,9,,,,,1,,,,,,,,,Unclear,1,,,Femenino,女性,0,0,,,,Breast cancer,,Cancer,,1,Breast Cancer,,Mono
At least 1 finalverdict,704,MSH6,,Either,Colorectal Cancer,,Lynch Syndrome,Cancer,Colorectal,1,Clingen is definitive or moderate AND NCCN management and/or ID present,,,Definitive,1,1,1,1,1,1,1,1,1,1,,,1,,,1,Mod,,1,colorrectal,结直肠,Masculino,男性,0,0,Ask2Me,366,,Colorectal cancer,,Cancer,,1,Colorectal Cancer,,Mono
At least 1 finalverdict,706,MSH6,,Female,Endometrial Cancer,,Lynch Syndrome,Cancer,Uterus,1,Clingen is definitive or moderate AND NCCN management and/or ID present,,,Definitive,1,1,1,1,1,1,1,1,1,1,,,1,,,1,High,,1,endometrio,子宫内膜,Femenino,女性,0,0,Ask2Me,367,,Endometrial cancer,,Cancer,,1,Endometrial Cancer,,Mono
At least 1 finalverdict,710,MSH6,,Either,Gastric Cancer,,Lynch Syndrome,Cancer,Gastric,1,Clingen is definitive or moderate AND NCCN management and/or ID present,,,Definitive,1,1,,1,1,,,,1,1,,,1,,,1,Low,,,gástrico,胃,Masculino,男性,0,0,Ask2Me,369,,Gastric cancer,,Cancer,,1,Gastric Cancer,,Mono
At least 1 finalverdict,95,MSH6,,Either,Hepatobiliary Cancer,,,Cancer,Liver,1,Clingen:The risk of cancer in LS by age 70: biliary tract=1-2%,,,Mentioned,1,,,,1,,,,1,,,,,,,1,Low,,,hepatobiliar,肝,Masculino,男性,0,0,,49,,Hepatobiliary,,Cancer,,1,Hepatobiliary Cancer,,Mono
At least 1 finalverdict,249,MSH6,,Either,Kidney Cancer,Renal Pelvis,,Cancer,Kidney,1,,,,,,1,1,,,,,,1,,,,,,,,,,,riñón,肾,Masculino,男性,0,0,,126,,Kidney,,Cancer,,1,Kidney Cancer,,Mono
At least 1 finalverdict,712,MSH6,,Female,Ovarian Cancer,,Lynch Syndrome,Cancer,Ovary,1,Clingen is definitive or moderate,,,Definitive,1,1,1,,1,,,,1,1,,,1,,,1,Mod,,1,ovario,卵巢,Femenino,女性,0,0,Ask2Me,370,,Ovarian cancer,,Cancer,,1,Ovarian Cancer,,Mono
At least 1 finalverdict,818,MSH6,,Either,Pancreatic Cancer,,,Cancer,Pancreas,9,NCCN : Not well established? Clingen:The risk of cancer in LS by age 70:  pancreas=1-4%,,,Mentioned,1,9,9,,,,,,1,,,,,,,1,Low,,1,páncreas,胰腺,Masculino,男性,0,0,,423,,Pancreatic cancer,,Cancer,,1,Pancreatic Cancer,,Mono
At least 1 finalverdict,808,MSH6,,Male,Prostate Cancer,,,Cancer,Prostate,1,NCCN management or identification is present.  ClinGenSilent.,,,Mentioned,1,1,1,1,,,,,1,,,,,,,,,,1,próstata,前列腺,Masculino,男性,0,0,,418,,Prostate cancer,,Cancer,,1,Prostate Cancer,,Mono
At least 1 finalverdict,91,MSH6,,Either,Sebaceous Adenoma,,,Neoplasm,Skin,1,,,,,,1,,1,1,,,,1,,,,,,,,,,,adenoma sebáceo,皮脂腺腺瘤,Masculino,男性,0,0,,47,,Sebaceous adenoma,,Benign Disease,,1,Sebaceous Adenoma,,Mono
At least 1 finalverdict,330,MSH6,,Either,Sebaceous Cancer,,,Cancer,Skin,1,,,,,,1,,1,1,,,,1,,,,,,,1,Low,,,carcinoma sebáceo,皮脂腺癌,Masculino,男性,0,0,,169,,Sebaceous carcinoma,,Cancer,,1,Sebaceous Cancer,,Mono
At least 1 finalverdict,85,MSH6,,Either,Skin (Benign),Keratoacanthoma,,Benign,Skin,1,,,,,,1,,1,1,,,,1,,,,,,,,,,,queratoacantoma,角化棘皮瘤,Masculino,男性,0,0,,43,,Keratoacanthoma,,Benign Disease,,1,Skin (Benign),,Mono
At least 1 finalverdict,87,MSH6,,Either,Small Intestine Cancer,,,Cancer,Small Bowel,9,only one source,,,Mentioned,1,,,,1,,,,1,1,,,1,,,1,Low,,,intestino delgado,小肠,Masculino,男性,0,0,Ask2Me,45,,Small Intestine,,Cancer,,1,Small Intestine Cancer,,Mono
At least 1 finalverdict,1218,MSH6,,Either,Thyroid Cancer,,,Cancer,Thyroid,0,Ambry Only- not incuded in paper,,,,,,,,,,,,1,,,,,,,,,,1,tiroides,甲状腺,Masculino,男性,0,0,,,,Thyroid cancer,,Cancer,,1,Thyroid Cancer,,Mono
At least 1 finalverdict,954,MSH6,,Either,Upper Urinary Tract Cancer,,,Cancer,Upper Urinary Tract,1,Clingen:The risk of cancer in LS by age 70: upper urinary tract=6%,,,Mentioned,1,1,,1,1,,,,1,1,,,1,,,1,Low,,,tracto urinario superior,上尿路,Masculino,男性,0,0,Ask2Me,,,Upper Urinary Tract,,Cancer,,1,Upper Urinary Tract Cancer,,Mono
At least 1 finalverdict,245,MSH6,,Either,Ureter Cancer,,,Cancer,Ureter,1,NCCN management or identification is present.  ClinGenSilent.,,,,,1,,1,,,,,1,,,,,,,1,Low,,,uréter,输尿管,Masculino,男性,0,0,,124,,Ureter,,Cancer,,1,Ureter Cancer,,Mono
0,1603,MSH6-Biallelic,,Either,Colorectal Neoplasia,,Constitutional Mismatch Repair Deficiency Syndrome,Neoplasm,Colorectal,,,,OMIM and Gene Card,Definitive,1,,,,,1,1,1,,,,,,,,,,,,,,Masculino,男性,0,0,,,,Upper Urinary Tract,,Cancer,,,Colorectal Polyps,,Mono
0,1591,MSH6-Biallelic,,Either,Small Intestine Cancer,,Constitutional Mismatch Repair Deficiency Syndrome,Cancer,Small Bowel,1,clingen is not specific,,OMIM and Gene Card,Definitive,1,,,,,,1,1,,,,,,,,,,,,,,Masculino,男性,0,0,,,,Upper Urinary Tract,,Cancer,,,Gastrointestinal Carcinoma,,Mono
0,1587,MSH6-Biallelic,,Either,Lymphoma,,Constitutional Mismatch Repair Deficiency Syndrome,Cancer,Nodes,1,Clingen is definitive or moderate,,,Definitive,1,,,,1,1,,,,,,,,,,1,Mod,,,linfoma,淋巴瘤,Masculino,男性,0,0,,,,Lymphoma,,Cancer,,,Lymphoma,,Mono
At least 1 finalverdict,487,BMPR1A,,Either,Duodenum Cancer,,,Cancer,Duodenum,1,Clingen:The risk of gastric and duodenal cancer in JPS is around 15-21%,,,Mentioned,1,,,,,,,1,1,,,,,,,,,,,duodenal,十二指肠,Masculino,男性,0,0,,255,,Duodenal cancer,,Cancer,,1,Duodenum Cancer,,Mono
At least 1 finalverdict,1050,BMPR1A,,Either,Dysmorphic Feature,Facial Dysmorphism,,Benign,Face,0,Ambry Only-Not in paper,,,,,,,,,,,,1,,,,,,,,,,1,,,Masculino,男性,0,0,,,,Facial Dysmorphism,,Benign Disease,,1,Facial Dysmorphism,,Mono
At least 1 finalverdict,584,BMPR1A,,Either,Gastric Cancer,,,Cancer,Gastric,1,Clingen:The risk of gastric and duodenal cancer in JPS is around 15-21%,,,Mentioned,1,1,1,,,,,1,1,,,,,,,1,Low,,,gástrico,胃,Masculino,男性,0,0,,304,,Gastric cancer,,Cancer,,1,Gastric Cancer,,Mono
At least 1 finalverdict,1052,BMPR1A,,Either,Colorectal Neoplasia,Juvenile Polyps,,Neoplasm,Colorectal,1,Clingen is definitive or moderate AND NCCN management and/or ID present,,,Definitive,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,,,Masculino,男性,0,0,,,,Juvenile polyps,,Neoplasm,,1,Juvenile Polyps,,Mono
At least 1 finalverdict,582,BMPR1A,,Either,Pancreatic Cancer,,,Cancer,Pancreas,1,NCCN-lifetime risk 11-36% (famillial risk for colorectal cance),,,,,1,,1,,,,1,1,,,,,,,,,,1,páncreas,胰腺,Masculino,男性,0,0,,303,,Pancreatic cancer,,Cancer,,1,Pancreatic Cancer,,Mono
At least 1 finalverdict,586,BMPR1A,,Either,Small Intestine Cancer,,,Cancer,Small Bowel,1,NCCN-lifetime risk 13% (famillial risk for colorectal cance),,,,,1,,1,,,,1,1,,,,,,,1,,,,intestino delgado,小肠,Masculino,男性,0,0,,305,,Small Instestine,,Cancer,,1,Small Intestine Cancer,,Mono
At least 1 finalverdict,1054,BMPR1A,,Either,Cardiovascular (Benign),Tetralogy Of Fallot,,Benign,Heart,0,Ambry Only-Not in paper,,,,,,,,,,,,1,,,,,,,,,,1,,,Masculino,男性,0,0,,,,Tetralogy of Fallot,,Benign Disease,,1,Tetralogy Of Fallot,,Mono
At least 1 finalverdict,1065,BRCA1,,Either,Brain Tumor,Medulloblastoma,,Cancer,Brain,0,Ambry Only,,,,,,,,,,,,1,,,,,,,,,,1,,,Masculino,男性,0,0,,,,Medulloblastoma,,Cancer,1,,Brain Tumor,,Mono
At least 1 finalverdict,21,BRCA1,,Either,Breast Cancer,,,Cancer,Breast,1,Clingen is definitive or moderate AND NCCN management and/or ID present,,,Definitive,1,1,1,1,1,1,1,1,1,1,,,1,,,1,High,High,1,mama,乳腺,Masculino,男性,0,0,Ask2Me,11,,Breast cancer,,Cancer,1,,Breast Cancer,,Mono
At least 1 finalverdict,1056,BRCA1,,Either,Colorectal Cancer,,,Cancer,Colorectal,0,PMID: 30380096,,,,,,,,1,,,,1,,,,,,,,,,1,colorrectal,结直肠,Masculino,男性,0,0,,,,Colorectal cancer,,Cancer,1,,Colorectal Cancer,,Mono
At least 1 finalverdict,1064,BRCA1,,Either,Gastric Cancer,,,Cancer,Gastric,9,NCCN says maybe PMID:12237282; 28024868,,,,,9,,9,,,,,1,,,,,,,,,,1,gástrico,胃,Masculino,男性,0,0,,,,Gastric cancer,,Cancer,1,,Gastric Cancer,,Mono
At least 1 finalverdict,1550,BRCA1,,Either,Skin (Benign),,,Benign,Skin,0,,,,,,,,,,,,,1,,,,,,,,,,,,黑色素瘤,Masculino,男性,0,0,,102,,Melanoma,,Cancer,1,,Keratoderma,,Mono
At least 1 finalverdict,1069,BRCA1,,Either,Kidney Cancer,,,Cancer,Kidney,0,"Ambry Only PMID: 27306910, 21751003",,,,,,,,,,,,1,,,,,,,,,,1,,,Masculino,男性,0,0,,,,Renal Cell Carcinoma,,Cancer,1,,Kidney Cancer,,Mono
At least 1 finalverdict,201,BRCA1,,Either,Melanoma,,,Cancer,Skin,0,"PMID: 23910109,PMID: 30286154",,,,,,,,,,,,1,,,,,,,1,Low,,1,melanoma,黑色素瘤,Masculino,男性,0,0,,102,,Melanoma,,Cancer,1,,Melanoma,,Mono
At least 1 finalverdict,1068,BRCA1,,Either,Peripheral Nervous System Cancer,Neuroblastoma,,Cancer,PNS,0,Ambry Only,,,,,,,,,,,,1,,,,,,,,,,1,,,Masculino,男性,0,0,,,,Neuroblastoma,,Cancer,1,,Neuroblastoma,,Mono
At least 1 finalverdict,23,BRCA1,,Female,Ovarian Cancer,,,Cancer,Ovary,1,Clingen is definitive or moderate AND NCCN management and/or ID present,,,Definitive,1,1,1,1,1,1,1,1,1,1,,,1,,,1,Mod,,1,ovario,卵巢,Femenino,女性,1,1,Ask2Me,12,,Ovarian cancer,,Cancer,1,,Ovarian Cancer,,Mono
At least 1 finalverdict,27,BRCA1,,Either,Pancreatic Cancer,,,Cancer,Pancreas,1,NCCN management or identification is present.  ClinGenSilent.,,,Mentioned,9,1,1,1,1,1,1,1,1,1,,,1,,,,Low,,1,páncreas,胰腺,Masculino,男性,0,0,Ask2Me,14,,Pancreatic cancer,,Cancer,1,,Pancreatic Cancer,,Mono
At least 1 finalverdict,496,BRCA1,,Male,Prostate Cancer,,,Cancer,Prostate,1,NCCN prevelance of 0.9,,,Mentioned,1,1,1,1,1,,,,1,,,,,,,1,Low,,1,próstata,前列腺,Masculino,男性,0,0,,260,,Prostate cancer,,Cancer,1,,Prostate Cancer,,Mono
At least 1 finalverdict,1072,BRCA1,,Either,Thyroid Cancer,,,Cancer,Thyroid,0,"Ambry Only PMID: 27306910 , 23910109",,,,,,,,,,,,1,,,,,,,,,,1,tiroides,甲状腺,Masculino,男性,0,0,,,,Thyroid cancer,,Cancer,1,,Thyroid Cancer,,Mono
At least 1 finalverdict,1075,BRCA2,,Either,Psychiatric,Autism,,Benign,CNS,0,Ambry Only PMID:26580448,,,,,,,,,,,,1,,,,,,,,,,1,,,Masculino,男性,0,0,,,,Autism,,Benign Disease,1,,Autism,,Biallelic
At least 1 finalverdict,1076,BRCA2,,Either,Bladder Cancer,,,Cancer,Urinary Bladder,0,Ambry Only,,,,,,,,,,,,1,,,,,,,,,,1,,,Masculino,男性,0,0,,,,Bladder cancer,,Cancer,1,,Bladder Cancer,,Mono
At least 1 finalverdict,1078,BRCA2,,Either,Brain Tumor,Medulloblastoma,,Cancer,Brain,0,"PMID:29753700, 26740091, 22044372",,,,,,,,,1,,1,1,,,,,,,,,,1,,,Masculino,男性,0,0,,,,Brain Tumor,,Cancer,1,,Brain Tumor,,Mono
At least 1 finalverdict,31,BRCA2,,Either,Breast Cancer,,,Cancer,Breast,1,Clingen is definitive or moderate AND NCCN management and/or ID present,,,Definitive,1,1,1,1,1,1,1,1,1,1,,,1,,,1,Low,High,1,mama,乳腺,Masculino,男性,0,0,Ask2Me,16,,Breast cancer,,Cancer,1,,Breast Cancer,,Mono
At least 1 finalverdict,1080,BRCA2,,Either,Colorectal Cancer,,,Cancer,Colorectal,9,"Ambry Only PMID:25195694, 27978560, 28135145",,,,,,,,,,,,1,,,,,,,,,,1,colorrectal,结直肠,Masculino,男性,0,0,,,,Colorectal cancer,,Cancer,1,,Colorectal Cancer,,Mono
At least 1 finalverdict,1091,BRCA2,,Either,Esophageal Cancer,,,Cancer,Esophagus,9,"Ambry Only PMID:22126563, 19473207",,,,,,,,,,,,1,,,,,,,,,,1,,,Masculino,男性,0,0,,,,Esophageal cancer,,Cancer,1,,Esophageal Cancer,,Mono
At least 1 finalverdict,1529,BRCA2,,Either,Gastric Cancer,,,Cancer,Gastric,9,NCCN maybe (10433620 :stomach cancer (RR = 2.59; 95%CI = 1.46-4.61)) PMID:26182300 PMID:29025585,,,,,9,,9,,,,,1,,,,,,,,,,,gástrico,胃,Masculino,男性,0,0,,,,Gastric cancer,,Cancer,1,,Gastric Cancer,,Mono
At least 1 finalverdict,1089,BRCA2,,Either,Hepatobiliary Cancer,Hepatocellular Cancer,,Cancer,Liver,0,Ambry Only PMID:8840963,,,,,,,,,,,,1,,,,,,,,,,1,,,Masculino,男性,0,0,,,,Liver,,Cancer,1,,Hepatocellular Cancer,,Mono
At least 1 finalverdict,960,BRCA2,,Either,Melanoma,Uveal Melanoma,,Cancer,Eye,1,NCCN management or identification is present.  ClinGenSilent. PMID:12385017,,,,,1,,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,Ocular Melanoma,,Cancer,1,,Melanoma,,
At least 1 finalverdict,502,BRCA2,,Either,Melanoma,,,Cancer,Skin,1,NCCN management or identification is present.  ClinGenSilent.,,,,,1,1,1,1,,,,1,,,,,,,1,Low,,1,melanoma,黑色素瘤,Masculino,男性,0,0,,263,,Melanoma,,Cancer,1,,Melanoma,,Mono
At least 1 finalverdict,33,BRCA2,,Female,Ovarian Cancer,,,Cancer,Ovary,1,Clingen is definitive or moderate AND NCCN management and/or ID present,,,Definitive,1,1,1,1,1,1,1,1,1,1,,,1,,,1,Mod,,1,ovario,卵巢,Femenino,女性,1,1,Ask2Me,17,,Ovarian cancer,,Cancer,1,,Ovarian Cancer,,Mono
At least 1 finalverdict,37,BRCA2,,Either,Pancreatic Cancer,,,Cancer,Pancreas,1,NCCN management or identification is present.  ClinGenSilent.,,,,,1,1,1,1,1,1,1,1,1,,,1,,,,Low,,1,páncreas,胰腺,Masculino,男性,0,0,Ask2Me,19,,Pancreatic cancer,,Cancer,1,,Pancreatic Cancer,,Mono
At least 1 finalverdict,39,BRCA2,,Male,Prostate Cancer,,,Cancer,Prostate,1,NCCN prevelance of 5.3,,,Mentioned,1,1,1,1,1,1,,1,1,,,,1,,,1,Mod,,1,próstata,前列腺,Masculino,男性,0,0,Ask2Me,20,,Prostate cancer,,Cancer,1,,Prostate Cancer,,Mono
At least 1 finalverdict,1082,BRCA2,,Either,Sarcoma,Ewing Sarcoma,,Cancer,Bone,0,Ambry Only,,,,,,,,,,,,1,,,,,,,,,,1,,,Masculino,男性,0,0,,,,Ewing Sarcoma,,Cancer,1,,Sarcoma (Bone),,Mono
At least 1 finalverdict,1093,BRCA2,,Either,Wilms Tumor,Nephroblastoma,,Cancer,Kidney,9,seems to be biallitic but papers are'nt clear PMID:20589654,,,,,,,,1,1,,1,1,,,,,,,,,,1,,,Masculino,男性,0,0,,,,Wilms Tumor,,Cancer,1,,Wilms Tumor,,Mono
At least 1 finalverdict,1505,BRIP1,,Either,Breast Cancer,,,Cancer,Breast,9,CLINGEN and NCCN disagree NCCN :Potential increase in female breast cancer with insufficient evdence for risk management (refuted by lee21018GenIn),,,Refuted,0,1,1,1,1,1,1,1,1,,,,,,,1,Low,,1,,,Masculino,男性,0,0,,,,Breast cancer,,Cancer,,,Breast Cancer,,Mono
At least 1 finalverdict,1094,BRIP1,,Female,Cervical Cancer,,,Cancer,Cervix,0,Ambry Only,,,,,,,,,,,,1,,,,,,,,,,1,,,Femenino,女性,0,0,,,,Cervical cancer,,Cancer,,,Cervical Cancer,,Mono
At least 1 finalverdict,1097,BRIP1,,Either,Gastric Cancer,,,Cancer,Gastric,0,Ambry Only,,,,,,,,,,,,1,,,,,,,,,,1,gástrico,胃,Masculino,男性,0,0,,,,Gastric cancer,,Cancer,,,Gastric Cancer,,Mono
At least 1 finalverdict,885,BRIP1,,Either,Leukemia,,,Cancer,Blood,0,,,,,,,,,,,,,1,,,,,,,,,,,leucemia,白血病,Masculino,男性,0,0,,,,Leukemia,,Cancer,,,Leukemia,,Mono
