AltNameGene,GeneMasterName,ForNLP,ForGeneCancerAssociation,DisplayAltNameGene,PrimaryKey,Test,Z_Ambry,Z_Invitae,Z_Fulgent,Z_ASK2ME,Z_Disease Type
"mutS (E. coli) homolog 2 (colon cancer, nonpolyposis type 1)",MSH2,,,,579,gene good,,,,,Cancer
mutS (E. coli) homolog 2,MSH2,,,,580,gene good,,,,,Cancer
"mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)",MSH2,,,,581,gene good,,,,,Cancer
MutS Homolog 2,MSH2,,,1,582,gene good,,,,,Cancer
FCC1,MSH2,,,,583,gene good,,,,,Cancer
LCFS2,MSH2,,,,584,gene good,,,,,Cancer
MutS Protein Homolog 2,MSH2,,,,585,gene good,,,,,Cancer
DNA Mismatch Repair Protein MSH2,MSH2,,,,586,gene good,,,,,Cancer
DNA Mismatch Repair Protein MSH6,MSH6,,,,587,gene good,,,,,Cancer
G/T mismatch-binding protein,MSH6,,,,588,gene good,,,,,Cancer
GTBP,MSH6,,,,589,gene good,,,,,Cancer
GTMBP,MSH6,,,,590,gene good,,,,,Cancer
HNPCC5,MSH6,,,,591,gene good,,,,,Cancer
MSH6_HUMAN,MSH6,,,,592,gene good,,,,,Cancer
mutS (E. coli) homolog 6,MSH6,,,,593,gene good,,,,,Cancer
MutS-alpha 160 kDa subunit,MSH6,,,,594,gene good,,,,,Cancer
mutS homolog 6 (E. coli),MSH6,,,,595,gene good,,,,,Cancer
P160,MSH6,,,,596,gene good,,,,,Cancer
MutS Protein Homolog 6,MSH6,,,,597,gene good,,,,,Cancer
Sperm-Associated Protein,MSH6,,,,598,gene good,,,,,Cancer
HSAP,MSH6,,,,599,gene good,,,,,Cancer
hMYH,MUTYH,,,,600,gene good,,,,,Cancer
MUTYH_HUMAN,MUTYH,,,,601,gene good,,,,,Cancer
mutY homolog,MUTYH,,,1,602,gene good,,,,,Cancer
mutY homolog (E. coli),MUTYH,,,,603,gene good,,,,,Cancer
mutY (E. coli) homolog,MUTYH,,,,604,gene good,,,,,Cancer
EC 3.2.2,MUTYH,,,,605,gene good,,,,,Cancer
MutY-Like Protein,MUTYH,,,,606,gene good,,,,,Cancer
Adenine DNA Glycosylase,MUTYH,,,,607,gene good,,,,,Cancer
A/G-Specific Adenine DNA Glycosylase,MUTYH,,,,608,gene good,,,,,Cancer
MutY DNA Glycosylase,MUTYH,,,,609,gene good,,,,,Cancer
AT-V1,NBN,,,,610,gene good,,,,,Cancer
AT-V2,NBN,,,,611,gene good,,,,,Cancer
ATV,NBN,,,,612,gene good,,,,,Cancer
NBN_HUMAN,NBN,,,,614,gene good,,,,,Cancer
NBS,NBN,,,,615,gene good,,,,,Cancer
p95 protein of the MRE11/RAD50 complex,NBN,,,,616,gene good,,,,,Cancer
Nijmegen breakage syndrome 1,NBN,,,,617,gene good,,,,,Cancer
Nibrin,NBN,,,1,618,gene good,,,,,Cancer
Cell Cycle Regulatory Protein P95,NBN,,,,619,gene good,,,,,Cancer
P95,NBN,,,,620,gene good,,,,,Cancer
PNCA3,PALB2,,,,621,gene good,,,,,Cancer
"Fanconi Anemia, Complementation Group N",PALB2,,,,622,gene good,,,,,Cancer
DNA mismatch repair gene homologue,PMS2,,,,623,gene good,,,,,Cancer
HNPCC4,PMS2,,,,624,gene good,,,,,Cancer
MLH4,PMS2,,,,625,gene good,,,,,Cancer
PMS2-C terminal -like,PMS2,,,,626,gene good,,,,,Cancer
PMS2 postmeiotic segregation increased 2 (S. cerevisiae),PMS2,,,,627,gene good,,,,,Cancer
PMS2_HUMAN,PMS2,,,,628,gene good,,,,,Cancer
PMS2CL,PMS2,,,,629,gene good,,,,,Cancer
PMSL2,PMS2,,,,630,gene good,,,,,Cancer
postmeiotic segregation increased (S. cerevisiae) 2,PMS2,,,,631,gene good,,,,,Cancer
"PMS1 Homolog 2, Mismatch Repair System Component",PMS2,,,1,632,gene good,,,,,Cancer
"PMS1 Homolog 2, Mismatch Repair Protein",PMS2,,,,633,gene good,,,,,Cancer
PMS1 Protein Homolog 2,PMS2,,,,634,gene good,,,,,Cancer
Postmeiotic Segregation Increased 2 Nirs Variant 6,PMS2,,,,635,gene good,,,,,Cancer
Mismatch Repair Endonuclease PMS2,PMS2,,,,636,gene good,,,,,Cancer
EC 3.1.-.-,PMS2,,,,637,gene good,,,,,Cancer
CDC2,POLD1,,,,638,gene good,,,,,Cancer
CRCS10,POLD1,,,,639,gene good,,,,,Cancer
MDPL,POLD1,,,,640,gene good,,,,,Cancer
POLD,POLD1,,,,641,gene good,,,,,Cancer
"DNA Polymerase Delta 1, Catalytic Subunit",POLD1,,,1,642,gene good,,,,,Cancer
"Polymerase (DNA) Delta 1, Catalytic Subunit",POLD1,,,,643,gene good,,,,,Cancer
DNA Polymerase Subunit Delta P125,POLD1,,,,644,gene good,,,,,Cancer
EC 2.7.7.7,POLD1,,,,645,gene good,,,,,Cancer
"Polymerase (DNA Directed), Delta 1, Catalytic Subunit (125kD)",POLD1,,,,646,gene good,,,,,Cancer
CDC2 Homolog (S. Cerevisiae),POLD1,,,,647,gene good,,,,,Cancer
CDC2 Homolog,POLD1,,,,648,gene good,,,,,Cancer
EC 3.1.11.-,POLD1,,,,649,gene good,,,,,Cancer
CRCS12,POLE,,,,650,gene good,,,,,Cancer
FILS,POLE,,,,651,gene good,,,,,Cancer
POLE1,POLE,,,,652,gene good,,,,,Cancer
"DNA Polymerase Epsilon, Catalytic Subunit",POLE,,,,653,gene good,,,,,Cancer
DNA Polymerase Epsilon Catalytic Subunit A,POLE,,,,654,gene good,,,,,Cancer
DNA Polymerase II Subunit A,POLE,,,,655,gene good,,,,,Cancer
EC 2.7.7.7,POLE,,,,656,gene good,,,,,Cancer
EC 2.7.7,POLE,,,,657,gene good,,,,,Cancer
"Polymerase (DNA Directed), Epsilon, Catalytic Subunit",POLE,,,,658,gene good,,,,,Cancer
"Polymerase (DNA Directed), Epsilon",POLE,,,,659,gene good,,,,,Cancer
DNA Polymerase Epsilon Catalytic Subunit Protein,POLE,,,,660,gene good,,,,,Cancer
MMAC1,PTEN,,,,661,gene good,,,,,Cancer
mutated in multiple advanced cancers 1,PTEN,,,,662,gene good,,,,,Cancer
phosphatase and tensin homolog (mutated in multiple advanced cancers 1),PTEN,,,,663,gene good,,,,,Cancer
phosphatase and tensin homolog deleted on chromosome 10,PTEN,,,,664,gene good,,,,,Cancer
protein-tyrosine phosphatase PTEN,PTEN,,,,665,gene good,,,,,Cancer
PTEN-MMAC1 protein,PTEN,,,,666,gene good,,,,,Cancer
PTEN1,PTEN,,,,667,gene good,,,,,Cancer
PTEN_HUMAN,PTEN,,,,668,gene good,,,,,Cancer
TEP1,PTEN,,,,669,gene good,,,,,Cancer
TEP1 phosphatase,PTEN,,,,670,gene good,,,,,Cancer
Phosphatase And Tensin Homolog,PTEN,,,,671,gene good,,,,,Cancer
"Phosphatidylinositol 3,4,5-Trisphosphate 3-Phosphatase And Dual-Specificity Protein Phosphatase PTEN",PTEN,,,,672,gene good,,,,,Cancer
"Phosphatidylinositol-3,4,5-Trisphosphate 3-Phosphatase And Dual-Specificity Protein Phosphatase PTEN",PTEN,,,,673,gene good,,,,,Cancer
MMAC1 Phosphatase And Tensin Homolog Deleted On Chromosome 10,PTEN,,,,674,gene good,,,,,Cancer
Mitochondrial Phosphatase And Tensin Protein Alpha,PTEN,,,,675,gene good,,,,,Cancer
Phosphatase And Tensin-Like Protein,PTEN,,,1,676,gene good,,,,,Cancer
Mitochondrial PTENalpha,PTEN,,,,677,gene good,,,,,Cancer
EC 3.1.3.16,PTEN,,,,678,gene good,,,,,Cancer
EC 3.1.3.48,PTEN,,,,679,gene good,,,,,Cancer
EC 3.1.3.67,PTEN,,,,680,gene good,,,,,Cancer
PTENbeta,PTEN,,,,682,gene good,,,,,Cancer
GLM2,PTEN,,,,683,gene good,,,,,Cancer
MHAM,PTEN,,,,684,gene good,,,,,Cancer
DEC,PTEN,,,,685,gene good,,,,,Cancer
BZS,PTEN,,,,686,gene good,,,,,Cancer
CWS1,PTEN,,,,687,gene good,,,,,Cancer
NBSLD,RAD50,,,,688,gene good,,,,,Cancer
RAD502,RAD50,,,,689,gene good,,,,,Cancer
RAD50 Double Strand Break Repair Protein,RAD50,,,,690,gene good,,,,,Cancer
"RAD50 Homolog, Double Strand Break Repair Protein",RAD50,,,1,691,gene good,,,,,Cancer
RAD50 (S. Cerevisiae) Homolog,RAD50,,,,692,gene good,,,,,Cancer
DNA Repair Protein RAD50,RAD50,,,,693,gene good,,,,,Cancer
EC 3.6.3.27,RAD50,,,,694,gene good,,,,,Cancer
EC 3.6.1.15,RAD50,,,,695,gene good,,,,,Cancer
EC 3.6.-.-,RAD50,,,,696,gene good,,,,,Cancer
EC 3.6.3,RAD50,,,,697,gene good,,,,,Cancer
BROVCA3,RAD51C,,,,698,gene good,,,,,Cancer
FANCO,RAD51C,,,,699,gene good,,,,,Cancer
R51H3,RAD51C,,,,700,gene good,,,,,Cancer
RAD51L2,RAD51C,,,,701,gene good,,,,,Cancer
RAD51 Paralog C,RAD51C,,,,702,gene good,,,,,Cancer
RAD51-Like Protein 2,RAD51C,,,,703,gene good,,,,,Cancer
DNA Repair Protein RAD51 Homolog 3,RAD51C,,,1,704,gene good,,,,,Cancer
RAD51 (S. Cerevisiae) Homolog C,RAD51C,,,,705,gene good,,,,,Cancer
RAD51 Homolog C (S. Cerevisiae),RAD51C,,,,706,gene good,,,,,Cancer
Yeast RAD51 Homolog 3,RAD51C,,,,707,gene good,,,,,Cancer
RAD51 Homolog C,RAD51C,,,1,708,gene good,,,,,Cancer
BROVCA4,RAD51D,,,,709,,,,,,Cancer
R51H3,RAD51D,,,,710,,,,,,Cancer
RAD51L3,RAD51D,,,,711,,,,,,Cancer
DNA Repair Protein RAD51 Homolog 4,RAD51D,,,1,713,,,,,,Cancer
RAD51 Paralog D,RAD51D,,,1,714,,,,,,Cancer
Recombination Repair Protein,RAD51D,,,,715,,,,,,Cancer
RAD51-Like Protein D,RAD51D,,,,716,,,,,,Cancer
RAD51 Homolog D,RAD51D,,,,717,,,,,,Cancer
TRAD,RAD51D,,,,718,,,,,,Cancer
RAD51 Homolog D (S. Cerevisiae),RAD51D,,,,719,,,,,,Cancer
RAD51 (S. Cerevisiae)-Like 3,RAD51D,,,,720,,,,,,Cancer
RAD51-Like 3 (S. Cerevisiae),RAD51D,,,,721,,,,,,Cancer
DPC4,SMAD4,,,,722,gene good,,,,,Cancer
JIP,SMAD4,,,,723,gene good,,,,,Cancer
"MAD (mothers against decapentaplegic, Drosophila) homolog 4",SMAD4,,,1,724,gene good,,,,,Cancer
"MAD, mothers against decapentaplegic homolog 4",SMAD4,,,,725,gene good,,,,,Cancer
"MAD, mothers against decapentaplegic homolog 4 (Drosophila)",SMAD4,,,,726,gene good,,,,,Cancer
MADH4,SMAD4,,,,727,gene good,,,,,Cancer
"Mothers against decapentaplegic, Drosophila, homolog of, 4",SMAD4,,,1,728,gene good,,,,,Cancer
"SMAD, mothers against DPP homolog 4 (Drosophila)",SMAD4,,,1,729,gene good,,,,,Cancer
SMAD4_HUMAN,SMAD4,,,,730,gene good,,,,,Cancer
SMAD Family Member 4,SMAD4,,,,731,gene good,,,,,Cancer
Deletion Target In Pancreatic Carcinoma 4,SMAD4,,,1,732,gene good,,,,,Cancer
MAD Homolog 4,SMAD4,,,,733,gene good,,,,,Cancer
Mothers Against Decapentaplegic Homolog 4,SMAD4,,,,735,gene good,,,,,Cancer
Deleted In Pancreatic Carcinoma Locus 4,SMAD4,,,,736,gene good,,,,,Cancer
"SMAD, Mothers Against DPP Homolog 4",SMAD4,,,,737,gene good,,,,,Cancer
Mothers Against DPP Homolog 4,SMAD4,,,,738,gene good,,,,,Cancer
SMAD 4,SMAD4,,,,739,gene good,,,,,Cancer
MYHRS,SMAD4,,,,740,gene good,,,,,Cancer
LKB1,STK11,,,,741,gene good,,,,,Cancer
PJS,STK11,,,,742,gene good,,,,,Cancer
STK11_HUMAN,STK11,,,,743,gene good,,,,,Cancer
serine/threonine kinase 11 (Peutz-Jeghers syndrome),STK11,,,,744,gene good,,,,,Cancer
Serine/threonine-protein kinase 11,STK11,,,1,745,gene good,,,,,Cancer
Serine/Threonine Kinase 11,STK11,,,,746,gene good,,,,,Cancer
Polarization-Related Protein LKB1,STK11,,,,747,gene good,,,,,Cancer
Renal Carcinoma Antigen NY-REN-19,STK11,,,,748,gene good,,,,,Cancer
Liver Kinase B1,STK11,,,,749,gene good,,,,,Cancer
EC 2.7.11.1,STK11,,,,750,gene good,,,,,Cancer
HLKB1,STK11,,,,751,gene good,,,,,Cancer
Serine/Threonine-Protein Kinase STK11,STK11,,,,752,gene good,,,,,Cancer
Serine/Threonine-Protein Kinase LKB11,STK11,,,,753,gene good,,,,,Cancer
cellular tumor antigen p53,TP53,,,,755,gene good,,,,,Cancer
P53 tumor suppressor,TP53,,,,757,gene good,,,,,Cancer
P53_HUMAN,TP53,,,,758,gene good,,,,,Cancer
phosphoprotein p53,TP53,,,,759,gene good,,,,,Cancer
transformation-related protein 53,TP53,,,1,760,gene good,,,,,Cancer
TRP53,TP53,,,,761,gene good,,,,,Cancer
tumor protein p53 (Li-Fraumeni syndrome),TP53,,,,762,gene good,,,,,Cancer
tumor suppressor p53,TP53,,,1,763,gene good,,,,,Cancer
Tumor Protein P53,TP53,,,,764,gene good,,,,,Cancer
Antigen NY-CO-13,TP53,,,,766,gene good,,,,,Cancer
Mutant Tumor Protein 53,TP53,,,,767,gene good,,,,,Cancer
Li-Fraumeni Syndrome,TP53,,,,768,gene good,,,,,Cancer
Tumor Supressor P53,TP53,,,,769,gene good,,,,,Cancer
Tumor Protein 53,TP53,,,,770,gene good,,,,,Cancer
BCC7,TP53,,,,771,gene good,,,,,Cancer
LFS1,TP53,,,,772,gene good,,,,,Cancer
FANCD1,BRCA2,1,1,1,773,gene good,,,,,Cancer
DNA-mismatch-repair,Lynch Gene,1,1,1,833,gene good,,,,1,Cancer
HNPCC,Lynch Gene,1,1,1,836,gene good,,,,,Cancer
lynch syndrome,Lynch Gene,1,1,1,837,gene good,,,,,Cancer
retinoblastoma 1,RB1,1,1,1,838,,,,,,Cancer
retinoblastoma-1,RB1,1,1,1,839,,,,,,Cancer
RB1,RB1,1,1,1,840,,1,1,1,,Cancer
CHEK2/1100delC,CHEK2,,,,841,,,,,1,Cancer
MUTYH-Biallelic,MUTYH-Biallelic,,,,842,gene good,,,,1,Cancer
"MUTYH-Biallelic/Compound Heterozygous
MUTYH-Biallelic/Compound Heterozygous","MUTYH-Biallelic/Compound Heterozygous
MUTYH-Biallelic/Compound Heterozygous",,,,843,,,,,1,Cancer
MUTYH-Biallelic/G396D,MUTYH-Biallelic/G396D,,,,844,,,,,1,Cancer
MUTYH-Monoallelic,MUTYH,,,,845,,,,,1,Cancer
NBN/657del5,NBN,,1,,846,,,,,1,Cancer
ataxia-telangiectasia (A-T) gene,ATM,,,,847,gene good,,,,,Cancer
LKB1,LKB1,1,1,1,848,,,,,0,Cancer
BAP1,BAP1,,,,849,gene good,1,1,1,,Cancer
MITF,MITF,,,,850,gene good,1,1,1,,Cancer
BLM,BLM,,,,851,gene good,1,1,1,,Cancer
DICER1,DICER1,,,,852,gene good,1,1,1,,Cancer
FANCC,FANCC,,,,853,,1,,1,,Cancer
FH,FH,,,,854,gene good,1,1,1,,Cancer
GALNT12,GALNT12,,,,856,,1,,1,,Cancer
MAX,MAX,,,,857,,1,1,1,,Cancer
MET,MET,,,,858,gene good,1,1,1,,Cancer
MRE11A,MRE11,,,,859,,,,,,Cancer
SMARCA4,SMARCA4,,,,860,gene good,1,1,1,,Cancer
TMEM127,TMEM127,,,,861,,1,1,1,,Cancer
TSC1,TSC1,,,,862,gene good,1,1,1,,Cancer
TSC2,TSC2,,,,863,gene good,1,1,1,,Cancer
XRCC2,XRCC2,,,,864,gene good,1,,1,,Cancer
ALK,ALK,,,,865,,1,1,1,,Cancer
PHOX2B,PHOX2B,,,,866,,1,1,1,,Cancer
PRKAR1A,PRKAR1A,,,,867,gene good,1,1,1,,Cancer
PTCH1,PTCH1,,,,868,gene good,1,1,1,,Cancer
SMARCB1,SMARCB1,,,,869,gene good,1,1,1,,Cancer
SUFU,SUFU,,,,870,gene good,1,1,1,9,Cancer
POT1,POT1,,,,871,gene good,1,1,1,,Cancer
SMARCE1,SMARCE1,,,,872,gene good,1,1,1,,Cancer
AIP,AIP,,,,873,,1,1,1,,Cancer
NTHL1,NTHL1,,,,874,gene good,1,1,1,,Cancer
AXIN2,AXIN2,,,,875,gene good,1,1,1,,Cancer
CDC73,CDC73,,,,876,gene good,1,1,1,,Cancer
CTNNA1,CTNNA1,,,,877,gene good,1,1,1,,Cancer
PIK3CA,PIK3CA,,,,878,,,,,,Cancer
FANCA,FANCA,,,,879,,,,1,,Cancer
FANCE,FANCE,,,,880,,,,1,,Cancer
FANCF,FANCF,,,,881,,,,1,,Cancer
FANCG,FANCG,,,,882,,,,1,,Cancer
FANCI,FANCI,,,,883,,,,1,,Cancer
FANCL,FANCL,,,,884,,,,1,,Cancer
KIT,KIT,,,,885,gene good,1,1,1,,Cancer
PDGFRA,PDGFRA,,,,886,gene good,1,1,1,,Cancer
SLX4,SLX4,,,,887,gene good,,,1,,Cancer
PRSS1,PRSS1,,,,888,,1,,1,,Cancer
MSH3,MSH3,,,,889,,1,1,,,Cancer
RPS20,RPS20,,,,890,,1,,,,Cancer
CASR,CASR,,,,891,gene good,1,1,1,,Cancer
WT1,WT1,,,,892,gene good,,1,1,,Cancer
FANCD2,FANCD2,,,,893,,,,1,,Cancer
BUB1B,BUB1B,,,,894,,,,1,,Cancer
CEBPA,CEBPA,,,,895,gene good,,1,1,,Cancer
DIS3L2,DIS3L2,,,,896,gene good,,1,1,,Cancer
EGFR,EGFR,,,,897,gene good,1,1,,,Cancer
ERCC4,ERCC4,,,,898,gene good,,,1,,Cancer
FANCM,FANCM,,,,899,,,,1,,Cancer
GATA2,GATA2,,,,900,gene good,,1,1,,Cancer
HRAS,HRAS,,,,901,gene good,,1,1,,Cancer
RECQL4,RECQL4,,,,902,,,1,1,,Cancer
RUNX1,RUNX1,,,,903,gene good,,1,1,,Cancer
WRN,WRN,,,,904,gene good,,1,1,,Cancer
TERC,TERC,,,,905,gene good,,1,1,,Cancer
TERT,TERT,,,,906,gene good,1,1,1,,Cancer
GPC3,GPC3,,,,907,gene good,,1,1,,Cancer
CDKN1C,CDKN1C,,,,908,gene good,,1,1,,Cancer
SPINK1,SPINK1,,,,909,gene good,1,,,,Cancer
CTFR,CTFR,,,,910,,,,,,Cancer
CTRC,CTRC,,,,911,,1,,,,Cancer
CPA1,CPA1,,,,912,,1,,,,Cancer
ATR,ATR,,,,913,gene good,,,1,,Cancer
CYLD,CYLD,,,,914,gene good,,,1,,Cancer
DDB2,DDB2,,,,915,gene good,,,1,,Cancer
ERCC2,ERCC2,,,,916,gene good,,,1,,Cancer
ERCC3,ERCC3,,,,917,gene good,,,1,,Cancer
ERCC5,ERCC5,,,,918,gene good,,,1,,Cancer
EXT1,EXT1,,,,919,,,,1,,Cancer
EXT2,EXT2,,,,920,gene good,,,1,,Cancer
FAH,FAH,,,,921,,,,,,Cancer
LDLR,LDLR,,,,922,,,,,,Cancer
LDLRAP1,LDLRAP1,,,,923,gene good,,,,,Cancer
MRE11,MRE11,,,,924,gene good,1,,1,,Cancer
NTRK1,NTRK1,,,,925,gene good,,,,,Cancer
PCSK9,PCSK9,,,,926,gene good,,,,,Cancer
RAD51B,RAD51B,,,,927,,,,,,Cancer
RHBDF2,RHBDF2,,,,928,gene good,,,,,Cancer
SBDS,SBDS,,,,929,gene good,,,,,Cancer
XPA,XPA,,,,930,gene good,,,1,,Cancer
XPC1,XPC1,,,,931,,,,,,Cancer
RNF43,RNF43,,,,932,gene good,,,,,Cancer
ACD,ACD,,,,933,,,,,,Cancer
ETV6,ETV6,,,,934,,,,,,Cancer
PARK2,PARK2,,,,935,,,,,,Cancer
PMS3,PMS3,,,,936,,,,,,Cancer
RECQL,RECQL,,,,937,gene good,1,,,9,Cancer
"bone morphogenetic protein receptor, type IA",BMPR1A,,,,938,gene good,,,,,Cancer
"bone morphogenetic protein receptor, type IA precursor",BMPR1A,,,,939,gene good,,,,,Cancer
BRCA1 gene,BRCA1,,,,940,gene good,,,,,Cancer
breast cancer 1,BRCA1,,,,941,gene good,,,,,Cancer
"breast cancer 1, early onset",BRCA1,,,,942,gene good,,,,,Cancer
brca 2 gene,BRCA2,,,,943,gene good,,,,,Cancer
BRCA2_HUMAN,BRCA2,,,,944,gene good,,,,,Cancer
breast cancer 2,BRCA2,,,,945,gene good,,,,,Cancer
"breast cancer 2, early onset",BRCA2,,,,946,gene good,,,,,Cancer
"cadherin 1, E-cadherin",CDH1,,,,947,gene good,,,,,Cancer
"cadherin 1, type 1, E-cadherin",CDH1,,,,948,gene good,,,,,Cancer
CDKN4,CDKN1B,,,,949,gene good,,,,,Cancer
CDN1B_HUMAN,CDKN1B,,,,950,gene good,,,,,Cancer
cyclin-dependent kinase inhibitor 1B,CDKN1B,,,,951,gene good,,,,,Cancer
"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",CDKN1B,,,,952,gene good,,,,,Cancer
KIP1,CDKN1B,,,,953,gene good,,,,,Cancer
P27KIP1,CDKN1B,,,,956,gene good,,,,,Cancer
CDK4 inhibitor p16-INK4,CDKN2A,,,,957,gene good,,,,,Cancer
CHK2 checkpoint homolog,CHEK2,,,,958,,,,,,Cancer
MEAI,MEN1,,,,959,gene good,,,,,Cancer
MEN1_HUMAN,MEN1,,,,960,gene good,,,,,Cancer
multiple endocrine neoplasia I,MEN1,,,1,961,gene good,,,,,Cancer
"mutL homolog 1, colon cancer, nonpolyposis type 2",MLH1,,,,962,gene good,,,,,Cancer
HNPCC7,MLH3,,,,963,gene good,,,,,Cancer
"mutS homolog 2, colon cancer, nonpolyposis type 1",MSH2,,,,964,gene good,,,,,Cancer
mutS homolog 6,MSH6,,,1,965,gene good,,,,,Cancer
Neurofibromatosis-related protein NF-1,NF1,,,,966,gene good,,,,,Cancer
Neurofibromatosis Type 1 Protein,NF1,,,1,967,gene good,,,,,Cancer
neurofibromin 1,NF1,,,,968,gene good,,,,,Cancer
NF1-GAP-Related Protein,NF1,,,,969,gene good,,,,,Cancer
NF1 GRP,NF1,,,,970,gene good,,,,,Cancer
NF1 Protein,NF1,,,,971,gene good,,,,,Cancer
NF1_HUMAN,NF1,,,,972,gene good,,,,,Cancer
ACN,NF2,,,,973,gene good,,,,,Cancer
BANF,NF2,,,,974,gene good,,,,,Cancer
MERL_HUMAN,NF2,,,,975,gene good,,,,,Cancer
merlin,NF2,,,,976,gene good,,,,,Cancer
moesin-ezrin-radixin-like protein,NF2,,,,977,gene good,,,,,Cancer
SCH,NF2,,,,978,gene good,,,,,Cancer
schwannomerlin,NF2,,,,979,gene good,,,,,Cancer
schwannomin,NF2,,,,980,gene good,,,,,Cancer
HNPCC3,PMS1,,,,981,gene good,,,,,Cancer
MLH2,PMS1,,,,982,gene good,,,,,Cancer
PMSL1,PMS1,,,,983,gene good,,,,,Cancer
PMS2 postmeiotic segregation increased 2,PMS2,,,,984,gene good,,,,,Cancer
postmeiotic segregation increased 2,PMS2,,,,985,gene good,,,,,Cancer
IMAGEI,POLE,,,,986,gene good,,,,,Cancer
BRCC5,RAD51,,,,987,gene good,,,,,Cancer
DNA repair protein RAD51 homolog 1,RAD51,,,1,988,gene good,,,,,Cancer
HRAD51,RAD51,,,,989,gene good,,,,,Cancer
HsRAD51,RAD51,,,,990,gene good,,,,,Cancer
RAD51 homolog,RAD51,,,,991,gene good,,,,,Cancer
RAD51_HUMAN,RAD51,,,,992,gene good,,,,,Cancer
RAD51A,RAD51,,,,993,gene good,,,,,Cancer
RECA,RAD51,,,,994,gene good,,,,,Cancer
RecA-like protein,RAD51,,,,995,gene good,,,,,Cancer
"RecA, E. coli, homolog of",RAD51,,,,996,gene good,,,,,Cancer
recombination protein A,RAD51,,,,997,gene good,,,,,Cancer
cadherin family member 12,RET,,,,998,gene good,,,,,Cancer
cadherin-related family member 16,RET,,,1,999,gene good,,,,,Cancer
CDHF12,RET,,,,1000,gene good,,,,,Cancer
CDHR16,RET,,,,1001,gene good,,,,,Cancer
HSCR1,RET,,,,1002,gene good,,,,,Cancer
hydroxyaryl-protein kinase,RET,,,,1003,gene good,,,,,Cancer
MEN2A,RET,,,,1004,gene good,,,,,Cancer
MEN2B,RET,,,,1005,gene good,,,,,Cancer
MTC1,RET,,,,1006,gene good,,,,,Cancer
PTC,RET,,,,1007,gene good,,,,,Cancer
rearranged during transfection,RET,,,,1008,gene good,,,,,Cancer
RET-ELE1,RET,,,,1009,gene good,,,,,Cancer
ret proto-oncogene,RET,,,,1010,gene good,,,,,Cancer
RET/PTC,RET,,,,1011,gene good,,,,,Cancer
RET51,RET,,,,1012,gene good,,,,,Cancer
RET_HUMAN,RET,,,,1013,gene good,,,,,Cancer
CMD1GG,SDHA,,,,1014,gene good,,,,,Cancer
DHSA_HUMAN,SDHA,,,,1015,gene good,,,,,Cancer
flavoprotein subunit of complex II,SDHA,,,,1016,gene good,,,,,Cancer
FP,SDHA,,,,1017,gene good,,,,,Cancer
SDH1,SDHA,,,,1018,gene good,,,,,Cancer
SDH2,SDHA,,,,1019,gene good,,,,,Cancer
SDHF,SDHA,,,,1020,gene good,,,,,Cancer
"succinate dehydrogenase flavoprotein subunit, mitochondrial",SDHA,,,,1021,gene good,,,,,Cancer
succinate dehydrogenase complex flavoprotein subunit,SDHA,,,,1022,gene good,,,,,Cancer
"succinate dehydrogenase complex subunit A, flavoprotein",SDHA,,,,1023,gene good,,,,,Cancer
"succinate dehydrogenase complex, subunit A, flavoprotein",SDHA,,,1,1024,gene good,,,,,Cancer
C11orf79,SDHAF2,,,,1025,gene good,,,,,Cancer
FLJ20487,SDHAF2,,,,1026,gene good,,,,,Cancer
hSDH5,SDHAF2,,,,1027,gene good,,,,,Cancer
PGL2,SDHAF2,,,,1028,gene good,,,,,Cancer
SDH assembly factor 2,SDHAF2,,,,1029,gene good,,,,,Cancer
SDH5,SDHAF2,,,,1030,gene good,,,,,Cancer
SDHF2_HUMAN,SDHAF2,,,,1031,gene good,,,,,Cancer
"succinate dehydrogenase assembly factor 2, mitochondrial",SDHAF2,,,,1032,gene good,,,,,Cancer
"succinate dehydrogenase subunit 5, mitochondrial",SDHAF2,,,,1033,gene good,,,,,Cancer
DHSB_HUMAN,SDHB,,,,1034,gene good,,,,,Cancer
FLJ92337,SDHB,,,,1035,gene good,,,,,Cancer
IP,SDHB,,,,1036,gene good,,,,,Cancer
iron-sulfur subunit of complex II,SDHB,,,,1037,gene good,,,,,Cancer
PGL4,SDHB,,,,1038,gene good,,,,,Cancer
SDH,SDHB,,,,1039,gene good,,,,,Cancer
SDH1,SDHB,,,,1040,gene good,,,,,Cancer
SDH2,SDHB,,,,1041,gene good,,,,,Cancer
SDHIP,SDHB,,,,1042,gene good,,,,,Cancer
"succinate dehydrogenase iron-sulfur subunit, mitochondrial",SDHB,,,,1043,gene good,,,,,Cancer
"succinate dehydrogenase iron-sulfur subunit, mitochondrial precursor",SDHB,,,,1044,gene good,,,,,Cancer
"succinate dehydrogenase complex subunit B, iron sulfur",SDHB,,,,1045,gene good,,,,,Cancer
"succinate dehydrogenase complex, subunit B, iron sulfur",SDHB,,,1,1046,gene good,,,,,Cancer
C560_HUMAN,SDHC,,,,1047,gene good,,,,,Cancer
CYB560,SDHC,,,,1048,gene good,,,,,Cancer
CYBL,SDHC,,,,1049,gene good,,,,,Cancer
cytochrome B large subunit of complex II,SDHC,,,,1050,gene good,,,,,Cancer
